row ID,row m/z,row retention time,SampleB3.mzML Peak area,SampleB4.mzML Peak area,SampleB5.mzML Peak area,SampleB2.mzML Peak area,SampleB1.mzML Peak area,Blank_reg.mzML Peak area,
1,255.2329839,1.316927042,1.58E+09,2.11E+09,2.41E+09,1.21E+09,2.02E+09,3.60E+07,
2,283.2643026,1.302582812,9.68E+08,1.66E+09,1.34E+09,1.02E+09,1.19E+09,2.70E+07,
3,475.1897705,5.055457351,1.47E+09,2.16E+09,506007.1687,2.03E+09,1.44E+09,0,
4,477.2102386,1.286953126,3.97E+08,2.75E+08,3.26E+08,1.83E+08,4.20E+08,0,
5,218.1034241,4.27445186,6.50E+08,0,0,0,5.50E+08,0,
6,497.1717491,5.046348333,1.04E+09,1.05E+09,1461199.241,0,2.15E+09,0,
7,307.1124166,1.447156627,4.46E+08,4.87E+08,0,3.43E+08,0,0,
8,783.3522705,1.35927311,2.08E+08,1.36E+08,1.64E+08,7.52E+07,1.42E+08,0,
9,277.2173996,1.145527923,2.03E+08,2.51E+08,0,9.17E+07,2.28E+08,0,
10,407.1449646,1.316197126,1.99E+08,3.53E+07,2.41E+08,3.94E+07,1.14E+08,0,
11,192.0666695,2.131234597,2.12E+08,1.86E+08,0,2.00E+08,2.56E+08,0,
12,530.2386169,4.981331705,4.56E+08,5.25E+08,0,4.90E+08,2.91E+08,0,
13,747.3758789,1.362713399,1.04E+08,7.57E+07,1.69E+08,3.03E+07,7.41E+07,0,
14,234.0772491,1.074299096,1.05E+08,8.67E+07,2681630.924,5.77E+07,9.74E+07,0,
15,401.0940857,1.197589354,1.52E+08,1.16E+08,0,1.48E+08,1.44E+08,0,
16,731.2425308,1.197589354,5.63E+07,5.12E+07,0,1.78E+07,7491545.917,0,
17,425.1378754,1.316196246,1.06E+08,7.49E+07,5.24E+07,5.89E+07,9.51E+07,0,
18,276.0878693,1.046568793,8.66E+07,8.75E+07,5552902.182,5.75E+07,6.90E+07,0,
19,513.1870178,1.298991622,1.09E+08,7.35E+07,4.68E+07,6.54E+07,1.31E+08,0,
20,749.3463501,1.283509286,7.74E+07,5.01E+07,1.57E+07,4.32E+07,5.99E+07,0,
21,289.1017334,4.630214303,1.54E+08,2.17E+08,1037571.74,2.03E+08,2.22E+08,0,
22,220.1343262,1.117744339,8.65E+07,7.80E+07,6965143.073,6.35E+07,7.55E+07,0,
23,281.1078033,1.477811065,1.65E+08,1.17E+08,0,7.52E+07,1.34E+08,0,
24,135.0300102,6.298783855,1.28E+08,1.60E+08,0,1.80E+08,8.36E+07,0,
25,203.0825958,5.694771628,1.44E+08,1.64E+08,2.07E+08,1.03E+08,1.35E+08,0,
26,309.0664642,1.557896243,1.04E+08,1.10E+08,1.17E+08,9.77E+07,2.26E+08,0,
27,343.0885391,1.471349286,1.41E+08,1.53E+08,0,1.17E+08,3.45E+07,0,
28,180.0666168,6.332004389,1.03E+08,1.41E+08,6.02E+07,1.41E+08,1.65E+08,0,
29,178.0509396,2.216594856,9.43E+07,8.27E+07,0,9.33E+07,1.17E+08,0,
30,699.2163849,1.419512642,1.33E+08,1.27E+08,0,9.58E+07,4.82E+07,0,
31,172.0979294,4.901322736,1.21E+08,8.12E+07,3263530.963,8.86E+07,7.76E+07,0,
32,289.1017685,1.570911127,9.63E+07,9.43E+07,0,8.35E+07,6.31E+07,0,
33,279.2330093,1.132575064,6.46E+07,7.74E+07,0,2.94E+07,7.83E+07,0,
34,310.0967224,5.567559935,8.72E+07,1.14E+08,1003715.483,1.03E+08,5.36E+07,0,
35,121.0296288,2.183383997,7.75E+07,7.62E+07,3.21E+08,7.27E+07,4.71E+08,0,
36,735.2705841,5.084649746,2.07E+08,2.30E+08,0,2.77E+08,3.02E+08,0,
37,511.160965,1.475653693,1.04E+08,7.05E+07,0,5.16E+07,4.72E+07,0,
38,283.134082,1.324795812,7.51E+07,5.66E+07,1.24E+08,2.02E+07,1.14E+08,0,
39,287.1401558,1.199743672,6.19E+07,5.99E+07,0,4.49E+07,6.56E+07,0,
40,342.1190491,6.404849679,9.48E+07,1.50E+08,2824691.263,9.44E+07,6.20E+07,0,
41,311.1687724,1.048860004,8.68E+07,0,9.73E+07,0,1.38E+08,0,
42,713.369873,1.276626933,5.56E+07,4.00E+07,3.88E+07,2.56E+07,4.38E+07,0,
43,765.3416809,1.293832739,5.89E+07,3.40E+07,3.08E+07,2.41E+07,3.44E+07,0,
44,107.0502708,1.262823179,5.41E+07,5.58E+07,7.86E+08,4.00E+07,4.00E+07,0,
45,129.0558258,1.461069352,5.28E+07,5.42E+07,5.38E+08,3.56E+07,8.10E+07,0,
46,259.0468597,1.247167842,4.98E+07,2.38E+07,0,1.82E+07,5.62E+07,0,
47,449.1733765,1.350672469,5.39E+07,4.63E+07,3.97E+07,2.64E+07,1.33E+07,0,
48,567.1819458,1.361290489,4.84E+07,1.49E+07,0,1.64E+07,4.14E+07,0,
49,250.0908218,1.114304276,4.42E+07,4.03E+07,3234042.817,3.35E+07,3.83E+07,0,
50,564.2231369,4.9877939,8.79E+07,9.83E+07,0,6.83E+07,3.87E+07,0,
51,729.3650208,1.285233986,4.34E+07,2.68E+07,3.32E+07,1.68E+07,2.67E+07,0,
52,201.0227203,1.156319389,3.44E+07,3.55E+07,0,2.10E+07,2.27E+07,0,
53,375.1794853,1.359164692,4.39E+07,0,2.54E+07,1.27E+07,4.11E+07,0,
54,188.9863739,1.516717731,3.83E+07,3.64E+07,0,2.40E+07,2.19E+07,0,
55,391.0498734,1.575235531,5.80E+07,5.14E+07,0,4.95E+07,5.35E+07,0,
56,172.9914291,1.393699792,3.18E+07,3.60E+07,7.64E+08,2.26E+07,1.62E+07,0,
57,290.0882446,6.31800436,3.96E+07,1.03E+08,1977094.81,8.26E+07,1.94E+07,0,
58,423.0759201,1.193026563,4.18E+07,3.61E+07,0,3.54E+07,5.64E+07,0,
59,255.1140076,1.577012922,4.93E+07,4.38E+07,3560801.396,3.57E+07,3.06E+07,0,
60,559.8140361,12.09213211,8.00E+07,0,7.49E+07,0,1.24E+08,0,
61,589.2005615,5.218294415,5.02E+07,8.99E+07,0,8.73E+07,3.95E+07,0,
62,192.048893,1.331097904,3.43E+07,4.88E+07,0,5.73E+07,1.61E+07,0,
63,192.1030487,1.618801678,4.63E+07,4.39E+07,1.42E+07,1.92E+07,7.15E+07,0,
